"Ano";"Mês";"TipoMercado";"RegiãoAgregada";"Preço em Reais por MMBtu";"Volume em mil metros cúbicos/dia"
"2022";"03";"Não Térmico";"Norte-Nordeste";75,3;11579
"2022";"03";"Térmico";"Norte-Nordeste";NA;3831
"2022";"03";"Não Térmico";"Sudeste";79,3;26003
"2022";"03";"Não Térmico";"Sul-Centro-Oeste";82,3;5281
"2022";"03";"Térmico";"Sudeste-Sul-Centro-Oeste";31,1;3228
"2022";"04";"Não Térmico";"Norte-Nordeste";80,8;11520
"2022";"04";"Térmico";"Norte-Nordeste";38,1;4952
"2022";"04";"Não Térmico";"Sudeste";79,7;26106
"2022";"04";"Não Térmico";"Sul-Centro-Oeste";82,2;5253
"2022";"04";"Térmico";"Sudeste-Sul-Centro-Oeste";43,5;669
"2022";"05";"Não Térmico";"Norte-Nordeste";91,9;12015
"2022";"05";"Térmico";"Norte-Nordeste";37,6;4037
"2022";"05";"Não Térmico";"Sudeste";93,8;27122
"2022";"05";"Não Térmico";"Sul-Centro-Oeste";105,8;5287
"2022";"05";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;537
"2022";"06";"Não Térmico";"Norte-Nordeste";84,7;11327
"2022";"06";"Térmico";"Norte-Nordeste";21,8;10951
"2022";"06";"Não Térmico";"Sudeste";93,6;27590
"2022";"06";"Não Térmico";"Sul-Centro-Oeste";105,8;5379
"2022";"06";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;154
"2022";"07";"Não Térmico";"Norte-Nordeste";79,2;10373
"2022";"07";"Térmico";"Norte-Nordeste";23,9;8843
"2022";"07";"Não Térmico";"Sudeste";92,5;26917
"2022";"07";"Não Térmico";"Sul-Centro-Oeste";105,5;5166
"2022";"07";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;350
"2022";"08";"Não Térmico";"Norte-Nordeste";86,7;11105
"2022";"08";"Térmico";"Norte-Nordeste";23,7;9096
"2022";"08";"Não Térmico";"Sudeste";96;27075
"2022";"08";"Térmico";"Sudeste-Sul-Centro-Oeste";285,5;917
"2022";"08";"Não Térmico";"Sul-Centro-Oeste";110,3;5125
"2022";"09";"Não Térmico";"Norte-Nordeste";80,2;10550
"2022";"09";"Térmico";"Norte-Nordeste";23;9238
"2022";"09";"Não Térmico";"Sudeste";95,6;26483
"2022";"09";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;864
"2022";"09";"Não Térmico";"Sul-Centro-Oeste";107,8;4972
"2022";"10";"Não Térmico";"Norte-Nordeste";79,2;12061
"2022";"10";"Térmico";"Norte-Nordeste";25,4;8108
"2022";"10";"Não Térmico";"Sudeste";95,3;25274
"2022";"10";"Não Térmico";"Sul-Centro-Oeste";104,8;4897
"2022";"10";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;843
"2022";"11";"Não Térmico";"Norte-Nordeste";77,9;11177
"2022";"11";"Térmico";"Norte-Nordeste";27,1;7318
"2022";"11";"Não Térmico";"Sudeste";90,2;25500
"2022";"11";"Não Térmico";"Sul-Centro-Oeste";100,2;4853
"2022";"11";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;926
"2022";"12";"Não Térmico";"Norte-Nordeste";80,2;11405
"2022";"12";"Não Térmico";"Sudeste";90;23381
"2022";"12";"Térmico";"Norte-Nordeste";NA;9722
"2022";"12";"Não Térmico";"Sul-Centro-Oeste";98,1;4198
"2022";"12";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1214
"2023";"01";"Não Térmico";"Norte-Nordeste";76,1;11298
"2023";"01";"Não Térmico";"Sudeste";90,5;23458
"2023";"01";"Térmico";"Norte-Nordeste";NA;6944
"2023";"01";"Não Térmico";"Sul-Centro-Oeste";92,9;4200
"2023";"01";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1506
"2023";"02";"Não Térmico";"Norte-Nordeste";70,5;11104
"2023";"02";"Não Térmico";"Sudeste";82,3;24174
"2023";"02";"Térmico";"Norte-Nordeste";NA;5152
"2023";"02";"Não Térmico";"Sul-Centro-Oeste";84,8;4549
"2023";"02";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;753
"2023";"03";"Não Térmico";"Norte-Nordeste";68;11382
"2023";"03";"Não Térmico";"Sudeste";82,3;24228
"2023";"03";"Térmico";"Norte-Nordeste";NA;4406
"2023";"03";"Não Térmico";"Sul-Centro-Oeste";85,3;4484
"2023";"03";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;744
"2023";"04";"Não Térmico";"Norte-Nordeste";67,3;9813
"2023";"04";"Não Térmico";"Sudeste";82,7;24065
"2023";"04";"Térmico";"Norte-Nordeste";NA;7029
"2023";"04";"Não Térmico";"Sul-Centro-Oeste";88,7;4454
"2023";"04";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1242
"2023";"05";"Não Térmico";"Norte-Nordeste";61,7;9597
"2023";"05";"Não Térmico";"Sudeste";76,3;25025
"2023";"05";"Térmico";"Norte-Nordeste";NA;5315
"2023";"05";"Não Térmico";"Sul-Centro-Oeste";82;4361
"2023";"05";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;922
"2023";"06";"Não Térmico";"Norte-Nordeste";61,2;8822
"2023";"06";"Não Térmico";"Sudeste";76,1;25483
"2023";"06";"Térmico";"Norte-Nordeste";NA;9834
"2023";"06";"Não Térmico";"Sul-Centro-Oeste";82,5;4417
"2023";"06";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;796
"2023";"07";"Não Térmico";"Norte-Nordeste";59,8;9568
"2023";"07";"Não Térmico";"Sudeste";77,1;24526
"2023";"07";"Térmico";"Norte-Nordeste";NA;8202
"2023";"07";"Não Térmico";"Sul-Centro-Oeste";83,8;4123
"2023";"07";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;865
"2023";"08";"Não Térmico";"Norte-Nordeste";56,5;8042
"2023";"08";"Não Térmico";"Sudeste";72,2;24727
"2023";"08";"Térmico";"Norte-Nordeste";NA;6938
"2023";"08";"Não Térmico";"Sul-Centro-Oeste";76,3;4339
"2023";"08";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;1090
"2023";"09";"Não Térmico";"Norte-Nordeste";56,6;9243
"2023";"09";"Não Térmico";"Sudeste";72;24332
"2023";"09";"Térmico";"Norte-Nordeste";NA;7565
"2023";"09";"Não Térmico";"Sul-Centro-Oeste";74,1;4287
"2023";"09";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;70
"2023";"10";"Não Térmico";"Norte-Nordeste";58,8;9707
"2023";"10";"Não Térmico";"Sudeste";71,9;24502
"2023";"10";"Térmico";"Norte-Nordeste";NA;7410
"2023";"10";"Não Térmico";"Sul-Centro-Oeste";75;4168
"2023";"10";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;357
"2023";"11";"Não Térmico";"Norte-Nordeste";62,1;9005
"2023";"11";"Não Térmico";"Sudeste";77,9;24427
"2023";"11";"Térmico";"Norte-Nordeste";27,4;10682
"2023";"11";"Não Térmico";"Sul-Centro-Oeste";81;4213
"2023";"11";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;2143
"2023";"12";"Não Térmico";"Norte-Nordeste";62;8319
"2023";"12";"Não Térmico";"Sudeste";80,1;22479
"2023";"12";"Térmico";"Norte-Nordeste";30,2;8611
"2023";"12";"Não Térmico";"Sul-Centro-Oeste";80,9;3718
"2023";"12";"Térmico";"Sudeste-Sul-Centro-Oeste";NA;3065
